Location,Total Land Area (acres),Number of Cows,Farm Size,Date,Product ID,Product Name,Brand,Quantity (liters/kg),Price per Unit,Total Value,Shelf Life (days),Storage Condition,Production Date,Expiration Date,Quantity Sold (liters/kg),Price per Unit (sold),Approx. Total Revenue(INR),Customer Location,Sales Channel,Quantity in Stock (liters/kg),Minimum Stock Threshold (liters/kg),Reorder Quantity (liters/kg)
Madhya Pradesh,961.98,38,Large,16-06-2019,6,Curd,Amul,187.05,53.21,9952.9305,5,Refrigerated,26-04-2019,01-05-2019,11,50.99,560.89,Delhi,Retail,176,63.12,92.03
Kerala,983.74,92,Large,08-09-2021,3,Cheese,Amul,177.63,17.54,3115.6302,50,Frozen,03-09-2021,23-10-2021,41,20.74,850.34,Madhya Pradesh,Retail,136,95.68,154.84
Delhi,463.06,84,Small,28-11-2020,1,Milk,Raj,676.76,27.5,18610.9,22,Tetra Pack,23-10-2020,14-11-2020,411,28.73,11808.03,Bihar,Wholesale,265,97.54,160.09
Delhi,96.27,26,Small,10-11-2019,5,Ice Cream,Amul,14.21,56.54,803.4334,29,Frozen,09-10-2019,07-11-2019,3,55.24,165.72,Rajasthan,Retail,11,22.33,40.04
Chandigarh,570.18,55,Large,07-06-2019,5,Ice Cream,Palle2patnam,338.48,52.66,17824.3568,30,Frozen,24-04-2019,24-05-2019,335,50.8,17018,Tamil Nadu,Retail,3,23.24,47.46
Uttar Pradesh,738.88,17,Large,08-05-2020,3,Cheese,Passion Cheese,257.64,71.21,18346.5444,75,Frozen,06-05-2020,20-07-2020,226,66.65,15062.9,West Bengal,Wholesale,31,59.49,81.78
Rajasthan,267.15,30,Medium,24-12-2019,9,Paneer,Sudha,97.17,57.74,5610.5958,11,Refrigerated,26-10-2019,06-11-2019,48,54.45,2613.6,Chandigarh,Retail,49,78.12,131.05
West Bengal,143.57,33,Large,15-04-2019,4,Yogurt,Palle2patnam,951.95,53.98,51386.261,23,Refrigerated,18-03-2019,10-04-2019,27,54.62,1474.74,Bihar,Wholesale,924,47.07,35.01
Delhi,697.57,62,Small,28-06-2021,4,Yogurt,Palle2patnam,384.7,41.3,15888.11,24,Frozen,26-06-2021,20-07-2021,349,40.46,14120.54,Jharkhand,Online,35,81.54,157.81
Bihar,172.73,32,Large,20-02-2019,3,Cheese,Dynamix Dairies,783.83,31.05,24337.9215,62,Refrigerated,25-12-2018,25-02-2019,510,26.06,13290.6,Chandigarh,Online,273,91.82,50.5
Chandigarh,697.25,14,Large,03-01-2020,10,Ghee,Raj,524.24,87.13,45677.0312,143,Ambient,19-11-2019,10-04-2020,64,90.5,5792,Jharkhand,Wholesale,460,88.32,106.15
Gujarat,362.94,38,Large,15-11-2019,6,Curd,Raj,877.17,45.47,39884.9199,7,Refrigerated,27-10-2019,03-11-2019,483,42.69,20619.27,Rajasthan,Retail,394,40.36,115.37
Delhi,118.27,47,Medium,28-01-2021,5,Ice Cream,Palle2patnam,945.93,23.77,22484.7561,21,Frozen,16-01-2021,06-02-2021,889,28.56,25389.84,Maharashtra,Retail,56,56.42,147.15
Haryana,118.47,10,Medium,11-08-2021,1,Milk,Mother Dairy,19.04,26.09,496.7536,27,Tetra Pack,18-06-2021,15-07-2021,13,30.2,392.6,Maharashtra,Wholesale,6,39.35,179.68
Madhya Pradesh,54,34,Small,18-10-2020,4,Yogurt,Palle2patnam,905.39,13.67,12376.6813,29,Frozen,22-08-2020,20-09-2020,478,8.91,4258.98,Jharkhand,Retail,427,82.81,112.76
Delhi,534.92,45,Small,20-02-2020,5,Ice Cream,Amul,987.05,16.92,16700.886,22,Frozen,27-01-2020,18-02-2020,581,15.59,9057.79,West Bengal,Retail,406,29.93,95.22
Gujarat,218.01,74,Medium,14-07-2020,7,Lassi,Sudha,91.83,36.14,3318.7362,14,Refrigerated,20-05-2020,03-06-2020,73,35.97,2625.81,Kerala,Online,18,51.58,152.24
Madhya Pradesh,206.09,31,Large,09-07-2021,6,Curd,Amul,130.08,73.73,9590.7984,6,Refrigerated,19-05-2021,25-05-2021,8,69.8,558.4,Bihar,Wholesale,122,41.31,126.22
Gujarat,185.75,61,Medium,23-08-2020,10,Ghee,Raj,675.56,61.69,41675.2964,87,Ambient,14-08-2020,09-11-2020,591,59.53,35182.23,Telangana,Online,84,28.31,180.09
Maharashtra,594.53,59,Medium,28-10-2021,4,Yogurt,Mother Dairy,760.74,99.51,75701.2374,29,Refrigerated,07-09-2021,06-10-2021,337,98.5,33194.5,Bihar,Online,423,37.02,117.66
Chandigarh,656.23,24,Small,22-03-2022,4,Yogurt,Palle2patnam,28.8,88.97,2562.336,23,Frozen,17-02-2022,12-03-2022,28,84.86,2376.08,Rajasthan,Wholesale,0,80.99,96.25
Tamil Nadu,321.95,67,Small,08-03-2019,3,Cheese,Passion Cheese,31.56,40.89,1290.4884,62,Refrigerated,23-01-2019,26-03-2019,22,37.22,818.84,Kerala,Online,9,25.47,24.79
Bihar,629.1,41,Medium,06-05-2019,10,Ghee,Mother Dairy,829.32,38.34,31796.1288,145,Ambient,28-03-2019,20-08-2019,492,35.19,17313.48,Bihar,Retail,337,23.88,117.16
Gujarat,205.48,30,Medium,27-10-2022,8,Buttermilk,Raj,5.23,97.46,509.7158,7,Refrigerated,06-10-2022,13-10-2022,3,101.51,304.53,Telangana,Wholesale,2,69.99,27.52
Gujarat,282.77,93,Small,09-02-2019,1,Milk,Amul,426.31,42.23,18003.0713,2,Polythene Packet,16-12-2018,18-12-2018,227,45.56,10342.12,West Bengal,Online,199,42.18,64.97
Tamil Nadu,117.15,68,Small,23-12-2019,10,Ghee,Amul,32.92,85.22,2805.4424,99,Ambient,23-11-2019,01-03-2020,25,80.25,2006.25,Bihar,Online,7,55.73,44.46
West Bengal,904.17,94,Large,20-12-2021,4,Yogurt,Mother Dairy,601.01,52.38,31480.9038,22,Refrigerated,14-12-2021,05-01-2022,558,53.02,29585.16,Tamil Nadu,Wholesale,43,31.35,88.83
Chandigarh,694.97,87,Large,28-06-2020,5,Ice Cream,Mother Dairy,531.78,66.73,35485.6794,30,Frozen,15-06-2020,15-07-2020,2,71.13,142.26,Rajasthan,Wholesale,529,91.35,112.57
Delhi,416.51,42,Medium,11-06-2021,1,Milk,Raj,898.49,91.95,82616.1555,1,Polythene Packet,17-05-2021,18-05-2021,190,89.37,16980.3,Jharkhand,Retail,708,39.55,94.02
Bihar,998.12,10,Large,06-04-2021,10,Ghee,Amul,948.93,36.86,34977.5598,106,Ambient,23-03-2021,07-07-2021,37,35.31,1306.47,Karnataka,Retail,911,93.76,103.21
Maharashtra,41.32,50,Small,12-10-2019,6,Curd,Raj,421.53,64.66,27256.1298,5,Refrigerated,10-10-2019,15-10-2019,350,67.58,23653,Gujarat,Wholesale,71,60.32,104.06
Jharkhand,658.45,26,Medium,01-09-2020,6,Curd,Raj,956.23,13.27,12689.1721,7,Refrigerated,29-07-2020,05-08-2020,455,15.09,6865.95,Gujarat,Wholesale,501,16.8,31.72
Bihar,633.95,62,Large,13-02-2021,7,Lassi,Mother Dairy,904.64,43.29,39161.8656,18,Refrigerated,17-12-2020,04-01-2021,275,39.7,10917.5,Gujarat,Retail,629,54.1,114.91
Uttar Pradesh,144.36,10,Medium,27-12-2021,8,Buttermilk,Raj,233.1,91.98,21440.538,8,Refrigerated,22-12-2021,30-12-2021,106,87.44,9268.64,Telangana,Online,127,89.1,119.95
Uttar Pradesh,387.83,19,Small,10-04-2021,4,Yogurt,Dodla Dairy,595.15,57.48,34209.222,30,Refrigerated,29-03-2021,28-04-2021,311,55.32,17204.52,Chandigarh,Wholesale,284,92.48,156.75
Kerala,859.22,51,Small,21-06-2019,6,Curd,Mother Dairy,662.72,83.43,55290.7296,5,Refrigerated,22-05-2019,27-05-2019,19,82.93,1575.67,Haryana,Wholesale,643,48.24,101.84
Karnataka,279.81,78,Medium,06-07-2019,8,Buttermilk,Amul,826.08,11.24,9285.1392,14,Refrigerated,07-06-2019,21-06-2019,38,10.11,384.18,Rajasthan,Wholesale,788,78.04,134.98
Delhi,806.56,29,Small,25-03-2021,4,Yogurt,Palle2patnam,447.21,37.33,16694.3493,24,Refrigerated,01-03-2021,25-03-2021,170,33.9,5763,Karnataka,Wholesale,277,45.11,54.21
Telangana,617.09,44,Large,16-04-2020,4,Yogurt,Amul,960.61,84.72,81382.8792,30,Refrigerated,16-03-2020,15-04-2020,751,84.92,63774.92,Chandigarh,Retail,209,56.14,135.33
Maharashtra,607.97,69,Large,28-02-2021,8,Buttermilk,Mother Dairy,335.34,82.94,27813.0996,9,Refrigerated,05-01-2021,14-01-2021,174,86.53,15056.22,Karnataka,Wholesale,161,70.83,30.51
Uttar Pradesh,848.33,97,Large,14-11-2019,5,Ice Cream,Dodla Dairy,65.92,63.93,4214.2656,22,Frozen,21-09-2019,13-10-2019,37,64.29,2378.73,Jharkhand,Wholesale,28,21.6,23.26
Haryana,790.88,53,Small,21-11-2021,5,Ice Cream,Mother Dairy,458.33,64.96,29773.1168,24,Frozen,10-11-2021,04-12-2021,78,66.82,5211.96,West Bengal,Online,380,77.21,125.94
Delhi,562.95,92,Medium,28-09-2020,8,Buttermilk,Sudha,344.6,76.39,26323.994,10,Refrigerated,04-09-2020,14-09-2020,230,78.45,18043.5,Maharashtra,Online,114,79.45,81.95
West Bengal,723.47,30,Large,17-10-2021,8,Buttermilk,Raj,195.03,48.4,9439.452,9,Refrigerated,23-09-2021,02-10-2021,82,43.67,3580.94,Telangana,Retail,113,27.68,111.42
Tamil Nadu,379.1,73,Large,26-12-2022,6,Curd,Amul,649.84,89.39,58089.1976,5,Refrigerated,13-11-2022,18-11-2022,314,85.38,26809.32,Rajasthan,Wholesale,335,94.99,174
Maharashtra,796.61,90,Large,24-08-2021,7,Lassi,Mother Dairy,294.03,83.74,24622.0722,16,Refrigerated,29-06-2021,15-07-2021,285,80.64,22982.4,Chandigarh,Retail,9,85.86,121.93
Madhya Pradesh,843.3,82,Small,17-09-2022,3,Cheese,Amul,977.18,68.04,66487.3272,70,Frozen,23-08-2022,01-11-2022,615,65.42,40233.3,Jharkhand,Wholesale,362,88.13,115.61
Karnataka,333.8,14,Large,18-10-2022,9,Paneer,Mother Dairy,271.52,12.92,3508.0384,12,Refrigerated,10-09-2022,22-09-2022,105,14.83,1557.15,Gujarat,Online,166,24.65,199.43
Chandigarh,785.64,58,Medium,03-02-2022,9,Paneer,Raj,241.09,44.67,10769.4903,10,Refrigerated,04-01-2022,14-01-2022,83,44.46,3690.18,Haryana,Online,158,41.27,93.18
Jharkhand,609.65,38,Medium,05-12-2019,6,Curd,Amul,754.26,60.92,45949.5192,7,Refrigerated,25-11-2019,02-12-2019,568,62.72,35624.96,Uttar Pradesh,Retail,186,44.37,196.12
Delhi,749.35,49,Large,19-04-2021,1,Milk,Amul,801.1,50.72,40631.792,1,Polythene Packet,11-04-2021,12-04-2021,48,50.68,2432.64,Rajasthan,Online,753,80.28,42.85
West Bengal,491.93,53,Medium,21-03-2021,9,Paneer,Sudha,673.76,58.59,39475.5984,10,Refrigerated,24-01-2021,03-02-2021,199,54.37,10819.63,Chandigarh,Wholesale,474,17.07,83.06
Chandigarh,235.2,55,Medium,06-05-2019,5,Ice Cream,Amul,677.43,23.34,15811.2162,22,Frozen,25-03-2019,16-04-2019,206,24.27,4999.62,West Bengal,Wholesale,471,69.18,123.46
Madhya Pradesh,775.36,44,Small,06-09-2022,1,Milk,Amul,448.79,96.1,43128.719,2,Polythene Packet,31-07-2022,02-08-2022,9,92.26,830.34,Karnataka,Retail,439,52.11,85.29
Delhi,767.8,68,Medium,04-02-2022,4,Yogurt,Amul,308.06,91.61,28221.3766,28,Refrigerated,07-12-2021,04-01-2022,218,87.67,19112.06,West Bengal,Wholesale,90,25.21,124.94
Uttar Pradesh,166.41,20,Small,07-10-2021,4,Yogurt,Dodla Dairy,500.63,93.47,46793.8861,22,Refrigerated,16-09-2021,08-10-2021,95,93.64,8895.8,Chandigarh,Online,405,99.22,116.81
Chandigarh,121.19,36,Small,25-08-2020,10,Ghee,Amul,752.61,18.45,13885.6545,86,Ambient,27-07-2020,21-10-2020,405,13.82,5597.1,Delhi,Online,347,59.94,137.36
Madhya Pradesh,703.87,14,Small,16-08-2020,4,Yogurt,Dodla Dairy,99.15,50.52,5009.058,29,Frozen,13-07-2020,11-08-2020,73,55.41,4044.93,Delhi,Retail,26,89.08,30.5
Chandigarh,943.06,11,Medium,18-03-2020,3,Cheese,Dynamix Dairies,35.43,11.58,410.2794,90,Refrigerated,24-02-2020,24-05-2020,9,15.61,140.49,Tamil Nadu,Wholesale,26,14.1,31.64
Chandigarh,147.87,19,Small,20-03-2021,9,Paneer,Mother Dairy,619.82,64.19,39786.2458,14,Refrigerated,18-03-2021,01-04-2021,110,62.44,6868.4,Chandigarh,Wholesale,509,65.07,111.83
Haryana,825.74,92,Medium,07-06-2019,3,Cheese,Passion Cheese,539.08,14.85,8005.338,64,Refrigerated,21-04-2019,24-06-2019,387,12.54,4852.98,Bihar,Wholesale,152,23.89,196.69
Jharkhand,765.09,87,Small,24-02-2021,6,Curd,Sudha,924.9,32.11,29698.539,7,Refrigerated,15-01-2021,22-01-2021,336,34.55,11608.8,Tamil Nadu,Online,588,99.67,184.23
Madhya Pradesh,503.22,80,Small,13-07-2019,1,Milk,Sudha,164.22,45.14,7412.8908,23,Tetra Pack,09-07-2019,01-08-2019,43,42.13,1811.59,Maharashtra,Online,121,50.13,143.37
Madhya Pradesh,609.62,37,Medium,24-04-2020,1,Milk,Sudha,15.02,61.91,929.8882,23,Tetra Pack,14-03-2020,06-04-2020,6,64.22,385.32,Maharashtra,Wholesale,9,67.32,46.3
Bihar,801.01,71,Medium,06-01-2022,5,Ice Cream,Dodla Dairy,944.42,52.48,49563.1616,26,Frozen,22-11-2021,18-12-2021,789,54.92,43331.88,Haryana,Retail,155,19.37,117.82
Haryana,896.99,88,Medium,23-02-2021,7,Lassi,Amul,280.99,67.26,18899.3874,14,Refrigerated,29-01-2021,12-02-2021,227,71.58,16248.66,Uttar Pradesh,Wholesale,53,80.92,160.68
Rajasthan,326.08,50,Small,04-11-2022,8,Buttermilk,Raj,73.54,77.53,5701.5562,10,Refrigerated,10-09-2022,20-09-2022,8,81.05,648.4,West Bengal,Retail,65,40.89,152.48
Maharashtra,79.46,90,Small,14-09-2022,1,Milk,Sudha,108.18,74.64,8074.5552,1,Polythene Packet,25-07-2022,26-07-2022,77,73.51,5660.27,West Bengal,Online,31,75.49,199.03
Telangana,41.25,44,Medium,10-12-2022,8,Buttermilk,Mother Dairy,318.52,61.2,19493.424,12,Refrigerated,22-10-2022,03-11-2022,9,57.78,520.02,Madhya Pradesh,Wholesale,309,32.78,99.55
Delhi,975,59,Medium,07-11-2020,9,Paneer,Mother Dairy,339.45,50.13,17016.6285,11,Refrigerated,17-10-2020,28-10-2020,146,51.33,7494.18,Tamil Nadu,Wholesale,193,72.68,116.24
Uttar Pradesh,584.92,36,Large,24-12-2020,4,Yogurt,Mother Dairy,498.17,76.98,38349.1266,23,Frozen,24-11-2020,17-12-2020,317,76.62,24288.54,Maharashtra,Retail,181,76.39,106.39
Delhi,784.26,17,Large,01-09-2019,4,Yogurt,Mother Dairy,976.79,11.22,10959.5838,24,Refrigerated,13-07-2019,06-08-2019,217,15.87,3443.79,Madhya Pradesh,Online,759,25.07,192.19
Delhi,309.47,70,Medium,04-06-2020,10,Ghee,Amul,531.05,74.75,39695.9875,139,Ambient,03-05-2020,19-09-2020,373,70.64,26348.72,Maharashtra,Retail,158,87.02,176.88
Telangana,496.25,35,Large,06-05-2019,6,Curd,Raj,136.06,21.14,2876.3084,5,Refrigerated,11-03-2019,16-03-2019,121,17.35,2099.35,Uttar Pradesh,Online,15,86.5,32.29
Bihar,922.63,76,Large,23-10-2022,10,Ghee,Mother Dairy,485.65,66.47,32281.1555,90,Ambient,31-08-2022,29-11-2022,32,70.77,2264.64,Maharashtra,Wholesale,453,89.79,144.41
Karnataka,569.79,32,Small,05-09-2021,4,Yogurt,Mother Dairy,944.28,94.59,89319.4452,21,Refrigerated,13-07-2021,03-08-2021,71,95.42,6774.82,Karnataka,Wholesale,873,45.52,102.55
Chandigarh,752.19,71,Small,14-07-2020,10,Ghee,Sudha,783.28,21.14,16558.5392,98,Ambient,07-07-2020,13-10-2020,535,23.06,12337.1,Telangana,Retail,248,79.8,152.71
Kerala,157.16,62,Small,25-12-2022,9,Paneer,Raj,256.79,10.15,2606.4185,14,Refrigerated,27-10-2022,10-11-2022,235,14.07,3306.45,Telangana,Retail,21,71,180.43
Delhi,591.21,37,Medium,17-07-2021,8,Buttermilk,Sudha,972.13,24.43,23749.1359,7,Refrigerated,20-05-2021,27-05-2021,118,27.89,3291.02,Delhi,Wholesale,854,94.73,157.18
Gujarat,615.81,33,Large,06-03-2022,1,Milk,Mother Dairy,930.13,60.41,56189.1533,26,Tetra Pack,11-02-2022,09-03-2022,332,63.83,21191.56,Delhi,Retail,598,67.8,32.51
Tamil Nadu,128.66,88,Large,14-04-2019,2,Butter,Warana,933.8,73.16,68316.808,26,Refrigerated,16-02-2019,14-03-2019,380,75.85,28823,Delhi,Retail,553,95.54,170.56
Rajasthan,760.36,32,Large,09-01-2020,4,Yogurt,Dodla Dairy,62.08,31.13,1932.5504,26,Refrigerated,15-11-2019,11-12-2019,53,33.37,1768.61,Chandigarh,Wholesale,9,59.41,108.65
Maharashtra,970.31,29,Large,13-12-2020,4,Yogurt,Amul,533.42,67.93,36235.2206,29,Refrigerated,27-10-2020,25-11-2020,377,65.49,24689.73,Chandigarh,Retail,156,70.71,34.04
West Bengal,783.79,39,Large,03-09-2019,1,Milk,Raj,647.09,18.32,11854.6888,23,Tetra Pack,29-08-2019,21-09-2019,298,19.01,5664.98,Rajasthan,Online,349,71.78,175.27
Uttar Pradesh,377.85,18,Medium,14-03-2022,2,Butter,Parag Milk Foods,783.25,61.5,48169.875,33,Refrigerated,24-02-2022,29-03-2022,565,61.62,34815.3,Telangana,Online,218,71.5,117.16
Uttar Pradesh,131.39,12,Small,05-06-2021,5,Ice Cream,Dodla Dairy,368.72,97.66,36009.1952,22,Frozen,26-05-2021,17-06-2021,286,100.24,28668.64,Delhi,Online,82,21.04,193.71
Kerala,703.26,30,Large,05-08-2020,10,Ghee,Amul,241.87,97.57,23599.2559,79,Ambient,25-06-2020,12-09-2020,80,99.43,7954.4,Chandigarh,Online,161,87.73,94.67
West Bengal,513.89,93,Medium,02-10-2019,3,Cheese,Britannia Industries,571.13,17.68,10097.5784,51,Frozen,10-08-2019,30-09-2019,166,13.81,2292.46,Rajasthan,Wholesale,405,19.27,122.99
Tamil Nadu,873.47,28,Large,09-05-2020,9,Paneer,Sudha,735.21,15.62,11483.9802,14,Refrigerated,18-03-2020,01-04-2020,603,16.74,10094.22,Rajasthan,Online,132,90.65,137.67
Uttar Pradesh,147.99,11,Small,07-07-2021,2,Butter,Mother Dairy,230.75,87.06,20089.095,35,Refrigerated,30-06-2021,04-08-2021,43,87.21,3750.03,Tamil Nadu,Wholesale,187,79.16,98.86
Chandigarh,468.57,38,Small,19-10-2020,3,Cheese,Dynamix Dairies,828.08,41.62,34464.6896,64,Refrigerated,28-08-2020,31-10-2020,401,41.85,16781.85,Delhi,Wholesale,427,56.25,173.04
Rajasthan,126.69,30,Medium,27-12-2022,10,Ghee,Amul,610.4,70.57,43075.928,118,Ambient,20-11-2022,18-03-2023,201,67.59,13585.59,Chandigarh,Wholesale,409,91.91,56.25
Delhi,108.57,55,Large,26-02-2021,1,Milk,Amul,42.46,23.3,989.318,1,Polythene Packet,29-01-2021,30-01-2021,15,21.05,315.75,Maharashtra,Wholesale,27,31.76,23.44
Bihar,916.67,85,Large,20-03-2020,1,Milk,Amul,93.56,14.94,1397.7864,28,Tetra Pack,31-01-2020,28-02-2020,90,13.85,1246.5,Maharashtra,Retail,3,46.84,117.48
Haryana,192.5,78,Small,02-01-2022,4,Yogurt,Dodla Dairy,263.97,13.74,3626.9478,24,Frozen,16-11-2021,10-12-2021,242,12.88,3116.96,Delhi,Online,21,95.92,147.43
Uttar Pradesh,308.86,67,Large,20-02-2022,9,Paneer,Mother Dairy,608.07,44.46,27034.7922,7,Refrigerated,26-12-2021,02-01-2022,572,48.13,27530.36,Delhi,Online,36,71.18,86.51
Uttar Pradesh,637.31,21,Medium,26-11-2019,5,Ice Cream,Mother Dairy,432.96,27.86,12062.2656,23,Frozen,22-11-2019,15-12-2019,50,26.7,1335,West Bengal,Online,382,98.14,119.16
Delhi,483.82,80,Large,21-03-2021,2,Butter,Mother Dairy,625.21,75.8,47390.918,31,Frozen,31-01-2021,03-03-2021,244,71.81,17521.64,Kerala,Wholesale,381,18.34,97.24
Bihar,561.01,87,Small,24-11-2020,2,Butter,Warana,97.51,61.85,6030.9935,25,Frozen,20-10-2020,14-11-2020,18,61.17,1101.06,Delhi,Wholesale,79,68.32,159.43
Telangana,102.27,81,Large,07-11-2022,9,Paneer,Amul,438.55,89.9,39425.645,14,Refrigerated,13-10-2022,27-10-2022,318,88.06,28003.08,Karnataka,Online,120,81.21,175.51
Chandigarh,82.93,29,Small,22-04-2022,8,Buttermilk,Sudha,225.76,26.66,6018.7616,7,Refrigerated,04-04-2022,11-04-2022,141,25.8,3637.8,Madhya Pradesh,Wholesale,84,97.23,73.67
Chandigarh,239.39,41,Small,10-01-2022,10,Ghee,Raj,497.09,42.63,21190.9467,115,Ambient,21-11-2021,16-03-2022,240,45.58,10939.2,Jharkhand,Online,257,78.29,198.11
Karnataka,354.76,52,Large,14-11-2020,7,Lassi,Raj,371.74,26.06,9687.5444,14,Refrigerated,29-09-2020,13-10-2020,127,25.02,3177.54,Karnataka,Wholesale,244,86.37,178.08
Uttar Pradesh,882.87,77,Large,15-07-2021,8,Buttermilk,Sudha,384.33,75.68,29086.0944,9,Refrigerated,12-06-2021,21-06-2021,71,73.66,5229.86,Maharashtra,Wholesale,313,40.14,44.37
Jharkhand,631.52,22,Medium,18-11-2021,1,Milk,Raj,325.32,13.03,4238.9196,2,Polythene Packet,10-10-2021,12-10-2021,42,17.49,734.58,Chandigarh,Online,283,39.04,144.76
Telangana,333.58,58,Small,10-05-2021,9,Paneer,Mother Dairy,681.13,11.13,7580.9769,8,Refrigerated,12-04-2021,20-04-2021,308,12.41,3822.28,Karnataka,Wholesale,373,84.55,53.79
Haryana,865.32,94,Large,05-08-2021,1,Milk,Raj,759.06,90.52,68710.1112,30,Tetra Pack,15-07-2021,14-08-2021,483,94.06,45430.98,Madhya Pradesh,Retail,276,44.58,180.18
Telangana,173.74,17,Small,26-11-2019,6,Curd,Mother Dairy,346.82,29.09,10088.9938,5,Refrigerated,02-10-2019,07-10-2019,247,28.73,7096.31,Haryana,Online,99,19.57,130.85
Kerala,515.09,37,Large,21-12-2019,7,Lassi,Sudha,553.37,18.76,10381.2212,18,Refrigerated,25-11-2019,13-12-2019,467,14.29,6673.43,Jharkhand,Wholesale,86,63.05,20.34
Kerala,309.39,79,Medium,14-12-2019,6,Curd,Mother Dairy,948.75,75.88,71991.15,7,Refrigerated,17-11-2019,24-11-2019,893,71.36,63724.48,Kerala,Wholesale,55,59.19,34.85
Maharashtra,74.82,53,Large,14-03-2020,10,Ghee,Raj,738.95,19.84,14660.768,86,Ambient,16-02-2020,12-05-2020,721,23.88,17217.48,Maharashtra,Wholesale,17,43.07,165.85
Chandigarh,675.9,56,Medium,23-05-2020,1,Milk,Raj,244.06,80.82,19724.9292,2,Polythene Packet,12-04-2020,14-04-2020,186,80.73,15015.78,Delhi,Retail,58,38.47,106.8
Madhya Pradesh,28.46,14,Large,18-08-2019,8,Buttermilk,Amul,638.73,54.4,34746.912,7,Refrigerated,13-08-2019,20-08-2019,268,58.52,15683.36,Gujarat,Online,370,70.29,58.97
Maharashtra,786.27,26,Small,25-02-2022,6,Curd,Raj,913.43,29.54,26982.7222,5,Refrigerated,10-02-2022,15-02-2022,248,33.7,8357.6,Gujarat,Retail,665,15.7,57.94
Delhi,823.13,38,Large,17-01-2019,4,Yogurt,Amul,205.81,58.69,12078.9889,30,Refrigerated,29-12-2018,28-01-2019,110,63.65,7001.5,West Bengal,Online,95,12.76,177.06
Telangana,904.79,80,Small,28-06-2021,1,Milk,Mother Dairy,660.88,14.83,9800.8504,28,Tetra Pack,29-05-2021,26-06-2021,14,19.76,276.64,Telangana,Retail,646,30.31,37.43
Haryana,41.97,66,Small,03-11-2022,4,Yogurt,Mother Dairy,65.49,92.99,6089.9151,23,Refrigerated,24-09-2022,17-10-2022,10,95.21,952.1,Jharkhand,Online,55,17.11,57.06
Telangana,552.51,73,Small,11-01-2022,4,Yogurt,Amul,53.37,83.49,4455.8613,23,Refrigerated,24-11-2021,17-12-2021,18,79.34,1428.12,Kerala,Retail,35,19.52,195.79
Haryana,184.63,44,Large,12-12-2021,5,Ice Cream,Mother Dairy,882.26,66.22,58423.2572,26,Frozen,29-10-2021,24-11-2021,784,68.28,53531.52,Uttar Pradesh,Retail,98,58.62,112.07
Jharkhand,50.61,72,Large,16-04-2020,5,Ice Cream,Amul,931.27,55.76,51927.6152,29,Frozen,10-03-2020,08-04-2020,117,57.23,6695.91,West Bengal,Retail,814,91.86,110.63
Delhi,414.93,53,Small,15-12-2019,6,Curd,Sudha,959.02,56.17,53868.1534,7,Refrigerated,10-11-2019,17-11-2019,189,53.41,10094.49,Chandigarh,Retail,770,77.58,97.89
Karnataka,272.48,89,Large,07-09-2020,4,Yogurt,Dodla Dairy,271.03,78.62,21308.3786,25,Frozen,12-08-2020,06-09-2020,31,78.95,2447.45,Madhya Pradesh,Online,240,91.38,90.6
Delhi,947.7,89,Large,06-05-2020,5,Ice Cream,Mother Dairy,526.15,35.05,18441.5575,29,Frozen,21-04-2020,20-05-2020,364,32.42,11800.88,Karnataka,Retail,162,13.53,73.01
West Bengal,508.22,79,Large,21-01-2021,10,Ghee,Raj,618.64,29.75,18404.54,69,Ambient,08-01-2021,18-03-2021,608,27.7,16841.6,Telangana,Wholesale,10,50.07,176.04
Chandigarh,879.83,13,Medium,28-08-2020,2,Butter,Parag Milk Foods,327.09,63.35,20721.1515,38,Refrigerated,09-08-2020,16-09-2020,221,61.38,13564.98,Tamil Nadu,Online,106,14.82,149.05
Bihar,449.82,88,Large,27-05-2019,7,Lassi,Raj,470.14,15.58,7324.7812,12,Refrigerated,15-04-2019,27-04-2019,201,16.3,3276.3,Madhya Pradesh,Wholesale,269,11.87,74.41
Telangana,539.77,98,Medium,28-07-2021,2,Butter,Parag Milk Foods,784.21,47.35,37132.3435,29,Refrigerated,30-05-2021,28-06-2021,675,47.37,31974.75,Uttar Pradesh,Retail,109,91.81,84.47
Jharkhand,763.97,12,Large,23-03-2020,4,Yogurt,Palle2patnam,200.3,22.32,4470.696,30,Frozen,20-03-2020,19-04-2020,192,18.18,3490.56,Madhya Pradesh,Online,8,39.02,150.42
Bihar,220.14,39,Medium,12-11-2020,7,Lassi,Sudha,404.84,71.39,28901.5276,13,Refrigerated,01-11-2020,14-11-2020,167,68.03,11361.01,Chandigarh,Online,237,45.77,185.38
West Bengal,466.47,18,Medium,18-08-2021,1,Milk,Raj,147.65,82.63,12200.3195,21,Tetra Pack,19-06-2021,10-07-2021,104,83.63,8697.52,Delhi,Retail,43,32.74,195.97
Kerala,807.2,42,Medium,05-12-2020,10,Ghee,Amul,459.23,21.89,10052.5447,140,Ambient,26-10-2020,15-03-2021,346,23.3,8061.8,Telangana,Wholesale,113,35.71,199.92
Delhi,800.72,83,Small,11-11-2020,6,Curd,Sudha,490.56,87.97,43154.5632,5,Refrigerated,17-09-2020,22-09-2020,482,84.7,40825.4,Kerala,Wholesale,8,25.64,56.02
